57	1
57	58
58	2
58	59
2	3
2	60
59	4
59	61
61	5
61	62
5	6
5	63
62	7
62	64
7	8
7	65
65	9
65	66
9	10
9	67
10	11
10	68
67	12
67	69
12	13
12	70
64	14
64	71
14	15
14	72
15	16
15	73
73	17
73	74
17	18
17	75
74	19
74	76
72	20
72	77
20	21
20	78
77	22
77	79
79	23
79	80
23	24
23	81
71	25
71	82
25	26
25	83
83	27
83	84
84	28
84	85
26	29
26	86
86	30
86	87
30	31
30	88
88	32
88	89
82	33
82	90
90	34
90	91
91	35
91	92
35	36
35	93
36	37
36	94
37	38
37	95
94	39
94	96
39	40
39	97
93	41
93	98
41	42
41	99
98	43
98	100
43	44
43	101
92	45
92	102
102	46
102	103
103	47
103	104
91	48
91	105
48	49
48	106
106	50
106	107
105	51
105	108
51	52
51	109
109	53
109	110
91	54
91	111
54	55
54	112
111	56
111	113
